,questions,answers
2187,What else?,Nothing else.
2188,No.,You don't?
2189,They don't know?,No -- they don't.
2190,I'm just --,-- worried?
2191,-- worried?,Well --
2192,Well --,About what?
2193,To be what?,Different.
2194,Oh no.,What?
2195,What?,I've got to go.
2196,I will.,Great.
2197,But why?,Why?
2198,Hello.,Mrs. Robinson?
2199,Mrs. Robinson?,Yes?
2200,Yes?,It's Benjamin.
2201,It's Benjamin.,Yes?
2202,Yes?,Benjamin Braddock.
2203,Can you see me now?,"Yes, I can."
2204,I want to speak --,Not now.
2205,Not now.,"Yes, sir."
2206,Need any help?,No.
2207,No --,Why?
2208,With the pearls?,With the pearls --
2209,I've quit.,You can't.
2210,I'll pay you back.,How?
2211,Like dancing?,Not with strangers.
2212,Never?,You're a fool!
2213,You're a fool!,"Yes, I am rather."
2214,That.,You?
2215,You?,Oh -- work!!
2216,Oh -- work!!,Oh!
2217,Very little.,Too bad.
2218,Aren't you?,What?
2219,What?,Free --
2220,Yes? -- Tomorrow?,Of course.
2221,Of course.,Really?
2222,I'd given you up.,Sorry.
2223,Chasing around.,Chasing what?
2224,Chasing what?,Money.
2225,Going?,Yes --
2226,You live here?,For tonight. 
2227,For tonight. ,Oh!
2228,Oh!,Yes -- oh!
2229,And -- and --,How tired you are!
2230,How tired you are!,Yes -- tired...
2231,Yes -- tired...,So alone.
2232,What can you see?,You are beautiful!
2233,You are beautiful!,No.
2234,There.,Oh -- 
2235,I know.,So --
2236,Do you understand?,Yes -- yes -- yes.
2237,Grusinskaya --,Yes.
2238,I can't.,No?
2239,Why do you think --,Why?
2240,Don't.,On the train?
2241,Till then.,Bless you --
2242,"Thank you, sir.","Not at all, sir. "
2243,"Ready, Kringelein?","Ready, Baron."
2244,No -- not at all.,All right then.
2245,All right then.,All right then.
2246,Hello! Hello! --,Don't do that. 
2247,Any letters?,"No, Doctor."
2248,"No, Doctor.",Telegrams?
2249,Telegrams?,"No, Doctor."
2250,Any letters?,"No, doctor."
2251,No - absinthe.,Yes -- that --
2252,Yes.,You're trembling.
2253,Moreover --,Moreover --
2254,Moreover...,Moreover...
2255,Tired?,You pay me.
2256,Moreover...,Moreover... 
2257,You...,Me.
2258,You...,Moreover...
2259,Moreover...,What?
2260,That's from skiing.,Skiing? 
2261,Not too quickly.,What?
2262,Miss Flaemm.,Hello!
2263,Tomorrow morning.,No -- now.
2264,Yes.,Well?
2265,"Oh, yes.",Insolent young cub!
2266,You're sweet.,You think so?
2267,Come here. ,"Here, hold up!"
2268,"Oh, no.",Why not?
2269,"Hurry, Suzette.",Such nonsense.
2270,Again?,Please.
2271,You're discharged.,Me?
2272,No news yet?,No. No word.
2273,What's bluff?,That.
2274,My son --,Your what?
2275,"Oh, thanks, Bobo.",You want a drink?
2276,Whadaya say?,Hello.
2277,Kaggs. Home office.,Roy Dillon.
2278,"Well, uh... No.",No?
2279,"Thanks, uh, Lilly.",Don't mention it.
2280,I pay my debts.,You do?
2281,Just a few bucks.,And Myra's stuff?
2282,Where's the five?,In your other hand.
2283,Are you sure?,Let's find out.
2284,Roy?,Mm?
2285,Mm?,Look at me.
2286,All? It ain't bad.,No more than this?
2287,No.,See you soon.
2288,Working the what?,"Oh, come on, Roy."
2289,He retired.,Where?
2290,Where?,Upstate.
2291,Upstate.,Upstate where?
2292,Upstate where?,Atascadero.
2293,Yeah?,Open your door.
2294,Open your door.,What?  What for?
2295,No! Because I --,That's what I say.
2296,That's what I say.,What?
2297,Roy Dillon?,Yes?
2298,"Oh, Jesus.","No question, huh?"
2299,Where?,The cemetery...
2300,That's it?,Care to join me?
2301,I'll be damned.,Do I know you?
2302,Detective...,Carter.
2303,A dead body?,It's Amy Kramer.
2304,It's Amy Kramer.,My god...
2305,No shit?!,No shit.
2306,You're twisted.,I know.
2307,You stole it?,I borrowed it.
2308,Not me.,Why not?
2309,Better?,Yeah.
2310,Who?!,Michael Meyers!
2311,"Hey, you alright?",What?
2312,Who?,Michael Meyers.
2313,Michael Meyers.,The serial killer?
2314,The serial killer?,He's my brother.
2315,Wait.,What is it?
2316,What is it?,I have to pee.
2317,I have to pee.,Can't you hold it?
2318,Can't you hold it?,Can't you?
2319,BLAAAAAGGGHHHHH!,"Shit, Linda!"
2320,"Shit, Linda!",You're so easy...
2321,Thanks!,Where's Shane?
2322,Answer what?,What if it's Kara?
2323,Promise?,I promise.
2324,Mommy!!!,Danny!!!
2325,Where's the baby?!,He's gone.
2326,What now?!,Wait a minute ...
2327,Come on!,It's not working!
2328,No!!!,"Stay away, Sam."
2329,"Miss me, baby?","I dunno, boy."
2330,"I dunno, boy.",Hm?
2331,Hm?,It's a bitch.
2332,It's a bitch.,A bitch.
2333,You told me.,When?
2334,Me?,You.
2335,You.,Okay.  Okay.
2336,Okay.  Okay.,You're an imbecile.
2337,For what?,For Africa.
2338,You're my buddy.,Out!  Out!
2339,Hello.,Hello.
2340,Hello.,Are you--
2341,Are you--do you--,Ask it!
2342,England?,Oh hell.
2343,Damn.,Mom?
2344,Dad?,Who was it?
2345,Who was it?,It's Mom.
2346,Mom?,What's this?
2347,What's this?,Nothing.
2348,No.,Open the bolt!
2349,"""Hamburger Heaven.""",Heaven.
2350,What's the matter?,Give us time.
2351,Disease?,Situation.
2352,I have some change!,Ram it up your ass!
2353,No.,What then?
2354,The doctor.,Yes.
2355,No you're not!,Why not?
2356,No.,No.
2357,How do I load?,Load it for her.
2358,Ooops.,Ooops.
2359,Oooooo.  That hurt.,You're old--so old.
2360,King Arthur.,You hope.
2361,No.  No.,Get up.
2362,Get up.,No.
2363,"I dunno, boy.",You don't know?
2364,You don't know?,It was a bitch.
2365,Dead!,Jesus.
2366,Jesus.,Alice is dead?
2367,What's this?,Don't!
2368,Thank God!,What a relief!
2369,I know.,Stay home tonight!
2370,Stay home tonight!,"Oh, Paul--"
2371,He's a ghost!,He's alive!
2372,I hate that thing.,It's beautiful.
2373,"Yes, he is.",Aaaaaaaaaaaaaah!
2374,Father's friend.,What's his name?
2375,What's his name?,Don't know.
2376,Don't know.,For Heaven's sakes!
2377,Yeah.,Then get him.
2378,Then get him.,Okay.
2379,I hate that thing.,Keeps fairies away!
2380,He isn't?,He is my father.
2381,He is my father.,No!
2382,Did you see him?,Yeah.
2383,Yeah.,Is he all right?
2384,Is he all right?,Far as I know.
2385,Far as I know.,Is he coming home?
2386,I'm sorry.,Marry me instead.
2387,That's the XKE.,The what?
2388,I wish Paul luck.,It's suicide!
2389,Do it!,Goodbye.
2390,Not true.,Or get eaten alive.
2391,Pull out your cock.,What?
2392,How many weeks?,Just one.
2393,Yeah.,We offer...
2394,We offer...,"Yeah, yeah..."
2395,Overpowering?,Yeah.
2396,Joanne?,You know her?
2397,Where is she?,Tod might know.
2398,Tod might know.,Where's he?
2399,No.,Huh?
2400,You don't drink?,Ulcers.
2401,A friend.,Of Joanne's?
2402,Say what?,'Sucking off.'
2403,No.,Neither am I.
2404,What's T-J?,Tijuana.
2405,Tijuana.,They were here?
2406,He deals in pain.,Is Kristen safe?
2407,What happened?,Where is he?
2408,Who's paying you?,You are.
2409,You are.,That's right.
2410,Hello?,Mr. Van Dorn?
2411,Mr. Van Dorn?,Mast?
2412,Mast?,Yeah.
2413,Where is she?,I don't know.
2414,I don't know.,What do you mean?
2415,No.,They're legal now.
2416,They're legal now.,They are?
2417,Where is she?,I don't know.
2418,Who made it?,I don't know.
2419,I don't know.,What do you mean?
2420,Like what?,Who is Ratan?
2421,"Wes, do me a favor.",What?
2422,I don't know.,Where!
2423,Where's Ratan?,Who?
2424,Was he with a girl?,No.
2425,No.,Thanks.
2426,"Okay, lady. Out.",Hello.
2427,How interesting.,Not very.
2428,Do you dance?,What?
2429,"Eh, no.",No.  I thought not.
2430,But this is my car.,Your hearse?
2431,Your hearse?,Yearse!
2432,Yearse!,Oh.
2433,No.,Well then.
2434,All right.,Promise?
2435,Harold?,Maude???!
2436,What do you think?,"Oh. Eh, I like it."
2437,What happened?,Look.
2438,Look.,What?
2439,No.,No more revolts.
2440,Okay?,Superb.
2441,The ice is melting.,Yes.
2442,Of course.,Okay.
2443,With God?,With Life.
2444,But they have.,"Well, don't go."
2445,Maude.,Yes.
2446,Yes.,Here.
2447,I took them out.,Why?
2448,"Oh, Harold. ",For you.
2449,To whom?,To a girl. Here.
2450,What?,A sunflower?
2451,This is insane.,Perhaps it is.
2452,How do you do?,Can't complain.
2453,Fifteen.,A rough estimate.
2454,Yes. It does.,Why?
2455,"Ah, yes.",And a lot of time.
2456,Harold?,Huh?
2457,No.,None at all?
2458,None at all?,"Well, maybe one."
2459,Yes.,Your classmates?
2460,Your classmates?,Yes.
2461,Yes.,Your studies?
2462,Your studies?,Yes.
2463,Yes.,ZAT!
2464,Parasite!,Harold!
2465,Julia.,Frank.
2466,Frank.,I knew you'd come.
2467,I knew you'd come.,You knew?
2468,Yes!,Shit. Bull. Shit.
2469,She's done it.,She certainly has.
2470,She certainly has.,It's coming.
2471,It's coming.,It certainly is.
2472,No bad dreams.,So you slept O.K.?
2473,Get out of the way.,Are you crazy?
2474,Well... G'bye.,It's been Hell.
2475,I... remember.,You were ALL human!
2476,Who?,The Cenobites.
2477,It's almost over!!,No. It's not.
2478,I worry about you.,Me?? C'mon --
2479,She's dead.,Noooo! Noooo!!!
2480,Thank you.,My job.
2481,Myers?,Yes?
2482,Yes?,Goodbye.
2483,Where do you --,Shh! Just a second.
2484,Not from you.,Well good n-
2485,Well good n-,Good night.
2486,Alone?,How big can it be?
2487,"Goodnight, then.",Goodnight.
2488,I like that...,Good.
2489,Marco...,...Polo.
2490,Cocky.,Strong.
2491,Strong.,A brute.
2492,He -- loves you.,I know.
2493,I know.,What about you?
2494,Hit me.,What?
2495,Christ!,What's the problem?
2496,What's the problem?,My fucking hand!
2497,It's my lucky day.,Hi.
2498,Hi.,Want to buy a bed?
2499,Want to buy a bed?,Not much.
2500,What's happening?,We're leaving.
2501,We're leaving.,Where's my father?
2502,That your daughter?,Uh-huh.
2503,Julia!,Kirsty?
2504,No.,You remember.
2505,You remember.,No.
2506,No.,Come to Daddy.
2507,You bastard --,Poor baby.
2508,Poor baby.,Bastard.
2509,I'm brother Frank.,Oh.
2510,What about Larry --,Forget him.
2511,Wedded bliss?,I'm very happy.
2512,I'm very happy.,Sure you are.
2513,Julia.,Oh my God.
2514,Oh my God.,Don't look at me.
2515,Don't look at me.,Who are you?
2516,Who are you?,I said: don't look.
2517,...somebody...,Ssh!
2518,I'm hurting,Hurting.
2519,Later.,What?
2520,Not know.,"Tell me, damn you."
2521,You can't love him.,I don't.
2522,Maybe.,Don't you care?
2523,Kirsty.,Hi. I got soaked.
2524,Which is where?,Just to your left.
2525,Where's Daddy?,What's the problem?
2526,This afternoon.,I saw everything.
2527,"No, damn you --",Oh my God.
2528,Like who?,Just a thought --
2529,Just a thought --,Ah!
2530,No argument.,Oh Christ. Julia...
2531,Larry!,I hear you.
2532,Where are you?,In here.
2533,Well?,Why not?
2534,What have you done?,I cut myself.
2535,Shit.,Let me see.
2536,Take it slowly.,So damn stupid.
2537,So damn stupid.,You're done worse.
2538,Julia?,I'm here.
2539,Maybe a brandy.,Sure.
2540,Who was it?,Kirsty.
2541,Are you all right?,Fine.
2542,-- I'll go see.,No. I'll do it.
2543,Oh baby.,Don't go upstairs.
2544,Don't go upstairs.,Come with me then.
2545,Huh?,Please...
2546,What?,Drinking alone.
2547,Drinking alone.,Not much.
2548,Not much.,"I wonder, maybe..."
2549,Just soda.,Plain soda?
2550,Plain soda?,Please.
2551,That depends.,Oh?
2552,Do you care ?,"No, not much."
2553,I suppose not.,I prefer the floor.
2554,Oh Christ.,What's wrong?
2555,Who's there?,Daddy?
2556,Kirsty?,I got through.
2557,I got through.,Where are you?
2558,Where are you?,I found a room.
2559,I found a room.,What did you say?
2560,O.K.,"Take care, Dad."
2561,"Take care, Dad.",Call me tomorrow.
2562,Call me tomorrow.,I will. See you.
2563,Big house.,You like?
2564,You like?,Me like.
2565,Surprise.,Kirsty.
2566,Are you O.K.?,Sure.
2567,I've forgotten.,Steve?
2568,Yeah.,"I love you, honey."
2569,"I love you, honey.",I love you too.
2570,Finished?,He's gone.
2571,He's gone.,Gone?
2572,I want to see.,No you don't.
2573,No you don't.,Yes!
2574,Yes!,Show her.
2575,You're not going?,Just upstairs.
2576,Need any help?,I AM house-trained.
2577,It's late.,Not that late.
2578,Oh no?,Oh no.
2579,Oh!,Are you alright ?
2580,Are you alright ?,I've been better.
2581,'Bye.,'Bye.
2582,Do I know you?,I don't know.
2583,Alison's.,Really.
2584,What's next?,Play it.
2585,Play it.,Say it.
2586,Suck my ass.,Terrific.
2587,My band.,What band?
2588,What?,Nothing.
2589,He's got one!,On Clark Street!
2590,We work there!,You'd love it!
2591,"Don't do it, Rob!",He's not worth it!
2592,"Hey, Barry.","Oh, hi."
2593,"Oh, hi.",Where's Rob?
2594,Nice friend.,Yeah.
2595,Yeah.,What's his name?
2596,Hey Charlie.,Hey Rob.
2597,"'Morning, Dick.","Oh, hi.  Hi, Rob."
2598,"Oh, hi.  Hi, Rob.",Good weekend?
2599,Let's not.,I want a tape.
2600,Rob --!,-- FUCK OFF!
2601,Shit!,Hi.
2602,Hi.,Hi.
2603,What?,"What, what?"
2604,Fine.  One.,It sounds stupid.
2605,It sounds stupid.,Nevermind.
2606,Nevermind.,You won't like it.
2607,You won't like it.,Just ask it!
2608,Just ask it!,Is it better?
2609,Hello.,It's me.
2610,Those aren't mine.,Sure they are.
2611,Hello.,"Hey, how ya doin'?"
2612,Are you alright?,Pigsty.
2613,Pig died.,Who the fuck's Pig?
2614,You're soaking.,Mmnn.
2615,"No, but...",But what?
2616,Nothing.,Wanna go to dinner?
2617,Wanna go to dinner?,Where?
2618,I mean it.,I know.
2619,I don't know.,Very persuasive.
2620,Fair enough.,So?
2621,Rob here.,Hey.  It's Liz.
2622,Hey.  It's Liz.,What's happenin'.
2623,"Enough, Liz.",Enough of what?
2624,It's a great song.,Thank you.
2625,Are you okay?,Yes.  You?
2626,So you'll stay?,Yeah.
2627,Yeah.,Good.
2628,That way.  You?,That way.
2629,I'll call you.,Right.
2630,Sixty.,Thirteen hundred.
2631,Thirteen hundred.,Seventy-five.
2632,I'm Vince.,Whatever.
2633,I warned you.,Go to hell.
2634,Claymore.,Huh?
2635,It's my birthday.,Happy birthday.
2636,Happy birthday.,Thanks.
2637,He was unsual.,Why?
2638,Do you play?,Yes.
2639,Yes.,Very traditional.
2640,Byzantine?,Basil the II.
2641,Grave robbers?,Probably.
2642,Probably.,Who?
2643,Why not?,Tradition.
2644,Where?,Dupont Circle.
2645,That bothers you?,He was innocent.
2646,What about me?,You?
2647,You're wrong.,You're a fool.
2648,You're a fool.,Maybe.
2649,Yes.,I wish I could.
2650,It's beautiful.,A little dusty.
2651,At least.,That's impossible.
2652,Yes.,He knows about you.
2653,He knows about you.,He is older than I.
2654,Don't.,"Come here, Brenna."
2655,"Come here, Brenna.",Damn you.
2656,Get out.,No!
2657,Forget it.,I'm just curious.
2658,Afternoon.,Your name is Conor?
2659,Your name is Conor?,Aye.
2660,I don't know why.,We are brothers.
2661,What?,We are immortal.
2662,It is as you are.,No!
2663,This is madness!,It is the truth.
2664,It is the truth.,No!
2665,Me arm hurts.,Again.  Try again.
2666,Impotent cow.,Muy Bien!
2667,Some think not.,Who?
2668,Something pretty.,Like you.
2669,Far away.,Kiss me.
2670,Who am I deceiving?,Certainly not me.
2671,Tradition.,It's all we have.
2672,Your name?,Mulet.
2673,We must talk.,Stay out of it.
2674,Where!,I don't know.
2675,Smith.  Carl Smith.,How many came?
2676,How many came?,The last four.
2677,The last four.,And the Bulgarian?
2678,Spare a chair?,Kahn?
2679,Long time.,Not so long.
2680,Friend of yours?,Of sorts.
2681,Run!,MACLEOD!
2682,Tradition.,It's all we have.
2683,It's all we have.,Go to hell.
2684,Leave her alone.,Get up.
2685,A mystery.,For the moment.
2686,Do you?,All I need is time.
2687,Morning Mr. North,Same.
2688,What's the matter?,I lost my wallet.
2689,I lost my wallet.,"The check, Bruce!"
2690,Hildy!,"Hello, Bruce..."
2691,"Oh, she was here.",Where'd she go?
2692,Where'd she go?,Out some place.
2693,Yes!,Then who are you?
2694,Call Duffy!,"No, you don't!"
2695,What's the matter?,Sweeney.
2696,Sweeney.,Dead?
2697,Allow me.,Thanks.
2698,Hildy!,Huh!
2699,Hildy!,"All right, Walter."
2700,What tickets?,Railroad tickets.
2701,I'm finished.,Finished!
2702,Walter!,"I'm busy, Duffy."
2703,"Goodbye, Yonson.","So long, Hildy."
2704,"Got you, Williams!",Go on -- shoot me!
2705,You fight it cut.,And up a dime.
2706,Kings and sixes.,That's good.
2707,Hiding him where?,Mother!
2708,Mother!,That man there!
2709,What's that?,"Quiet, Mollie!"
2710,Hey --,"Shut up, you!"
2711,Who? Me?,Who do you think!
2712,Get out of here!,You can't bribe me!
2713,There she is!,"Say, Hildy..."
2714,What's your hurry?,We want to see you.
2715,That was a googly!,I know.
2716,I know a secret.,What's that?
2717,Yes.,Say them.
2718,Bugger off.,Sod.
2719,Sod.,Sod.
2720,Sod.,Bloody.
2721,Bloody.,Bloody.
2722,You wouldn't.,Would.
2723,Would.,You couldn't.
2724,You couldn't.,Could.
2725,Who with?,Pauline.
2726,Where?,I don't know?
2727,What's that?,You joined up.
2728,You joined up.,"Oh, that."
2729,And what's that?,Jam.
2730,What?,Cone.
2731,Cone.,Huh... what cone?
2732,Tiny's home.,What about R.J.?
2733,Who's your Daddy!,Who's your Daddy!
2734,He left!,"Yeah, come on."
2735,Thank you.,You're welcome.
2736,"He walks, duh.",Fucking great.
2737,But if you did.,I don't.
2738,It's a hitchhiker.,Way out here?
2739,Thanks.,No problem.
2740,I like sleep.,Here he comes.
2741,Drive through it!,It won't work.
2742,Sleeping.,Rise and shine.
2743,"Shhhhhh, quiet.",I still don't.
2744,Recover any bodies?,Not yet.
2745,Huh?,Open up the trunk.
2746,Open up the trunk.,"Yes, sir."
2747,Where is he?,Let's go see.
2748,Turn up this road.,Where we headed?
2749,Jesus Christ.,Call Wydell.
2750,Mr. Willis?,"Yes, sir."
2751,"Aw, fuck.",What.
2752,I guess not.,That must be him.
2753,Over.,We found one.
2754,Say my name.,Gabrielle.
2755,French?,Oui.
2756,Oui.,That would be good.
2757,Hmmmph.,"Gabby, what is it?"
2758,My little French.,Stop. Get away.
2759,Stop. Get away.,What is it?
2760,Yeah? What?,Hi. It's Nathan.
2761,I've moved on.,No!
2762,Lila?,That's Lila?
2763,No.,Okay.
2764,Very well.,Very well.
2765,Progress!,Ouch. Yeah?
2766,Oh?,Three foot one.
2767,Three foot one.,Be still my crotch.
2768,Done!,Ready!
2769,You do?,"Yes, and..."
2770,Of course.,"What SPF, sweetie?"
2771,"What SPF, sweetie?",Fifteen.
2772,Yes.,Flares?
2773,Flares?,Absolutely.
2774,That's very funny.,I love you so much.
2775,Did you see that?,What?
2776,Really?,Sure. Of course.
2777,"Bravo to you, Puff!",That was wonderful!
2778,I think he's ready.,Oh boy!
2779,Extra dessert?,Even better.
2780,Wait!,Yes?
2781,Mother?,Yes... Derek.
2782,Yep.,Pittsburgh?
2783,Pittsburgh?,Mm hmm.
2784,You want a chaser?,No.
2785,How?,You tell me.
2786,We'll be there.,"Good, good."
2787,Okay?,Sit down.
2788,Make it twenty.,Cut.
2789,Cut.,Deal.
2790,Only when I work.,Yeah? Why?
2791,What is?,Pool.
2792,Pool.,You being cute?
2793,Character.,"Yeah. Sure, sure."
2794,For who?,For me.
2795,"Hello, Eddie.",Hi. How's business?
2796,Sign up.,Where do I sign?
2797,Sure.,You hustlin' me?
2798,How do we stand?,'Bout even.
2799,How're the hands?,They're fine.
2800,I wanna walk.,It's a long walk.
2801,It's a long walk.,"I got time, Bert."
2802,Findley.,Glad to meet you.
2803,What's the limit?,Half and a dollar.
2804,Half and a dollar.,Gimme ten bucks.
2805,Gimme ten bucks.,Ten dollars.
2806,Hi.,Hi.
2807,Try me.,Shoot.
2808,Shoot.,Okay.
2809,Call it.,Heads.
2810,What bus?,Yours.
2811,Yours.,Eight o'clock.
2812,Have a nice trip.,Thanks. I will.
2813,Have a nice trip?,Fair.
2814,Fair.,Can I sit down?
2815,I drink.,Hey!
2816,No.,Fifth of scotch?
2817,Why?,Come here.
2818,Who is it?,Me. It's Eddie.
2819,You wanna drink?,No. You?
2820,Would he know?,He knows. A lot.
2821,He's a gambler.,Is he a winner?
2822,I love you.,You need the words?
2823,You glad?,"Yes, I'm glad."
2824,For how long?,"Oh, I don't know."
2825,"Oh, I don't know.",A week? A year?
2826,Leave now.,"Oh, grow up."
2827,"Oh, grow up.",Why should I?
2828,Fifty-seven.,I'll be up later.
2829,Why?,Just for luck.
2830,Are you all right?,Yes.
2831,What about... now?,With them?
2832,With them?,Yes.
2833,Who is this?,My wife.
2834,What do you want?,What do you mean?
2835,Yes.,What's inside?
2836,What's inside?,Humans.
2837,Humans.,Who?
2838,Who?,I don't know.
2839,Virginia...?,What?
